"pagina","texto","error"
1,"l I
za us
I l 3 presented by

Mrs B. Huelin,
on bebalFofibe late l
Mr D.S. Huelin l Sa
Mar. 2002 l
TNR 8030
",NA
2,"RONDATES MALLORQUINES
",NA
3,"APLEC
DE
RONDAIES MALLORQUINES
D'EN
JORDI DES RECÓ
(ANTONI M.. ALCOVER, Pre)
SEGONA EDICIÓ
TOM III
EDITORIAL IBÈRICA :
PASSEIG DE GRACIA, 62
BARCELONA
MCMXIII
",NA
4,"Es propiedat de l' autor, qui se
reserva tots els drets que la
Hei li concedeix.
Estampa de La Sinceridad.—Soller. —(Mallorca.)—
",NA
5,"FE D'ERRADES
————
ADVERTENCIA

Com aquest tom casi tots' ha hagut d' estampar, essent
l' Autor fora de Mallorca i d' Espanya, i volguérem que
sortis amb l' ortografia de les Normes de l' Institut d' Es-
tudis Catalans de Barcelona en quant son aplicades a les
formes dialectals del català de Mallorca, que predominen
dins aquestes Rondaies, el corrector de proves s' hi va veu-
re amb grans feines per reduir a l'ortografia de les Nor-
mes la de la primera edició (de l' any 1898). Aixi es que li
passaren per malla algunes coses que es menester consig-
nar per que el lector no romanga confús de veure dins
aqueix volum certes grafies que estàn en contradicció
amb el sistema ortogràfic que hem adoptat de resultes de
les Normes de l'Institut. Per lo tant, que 's tenguin en
compte les segients rectificacions de l'ortografia d'
aqueix volum:

I. Ben sovint hi ha estampat e-Ru (grafia de la parti-
cula pronominal 4o quant comença frase o quant dins una
frase va derrera un mot acabat en consonant que no sia
l'infinitiu d' un verb) en lloc de Reu, segona persona plu-
ral del present d' haver. És una confusió que se comprèn
perfectament perque les dues formes fònicament son idèn-
tiques. Cabalment per defogir tal confusió hem adoptat
el sistema d' escriure tal forma de la particula ho així:
e-hu, conservant a la forma verbal la seua etimolgia:
heu (habetis).

II. Molt sovint se posa l'article plural efs devant noms
que comencen en consonant, essent així que tal forma d'
article sols s' usa a Mallorca devant noms que comencen
en vocal. Aqueix abús de l' article efs no era a la primera
edició.

gi
",NA
6,"I

III. Ben sovint el pronom personal de segona persona
tu està amb aczent (€ú), essent així que no toca dur-ne.
En castellà s' aczentúa tal pronom per que no s' confonga
amb el possessiu fu padre, éu madre.

IV. Casi mai s' acsentúa la e de éts, segona persona
singular del present d' esser, essent així que toca anar
aczentuada per distingir tal forma de l' article plural ets,

V. La cç, essent, com es, d' us molt dificil, a diferents

endrets no s' usa i calia usar-la, i a altres endrets s' usa
sensa pertocar.

VI. També se troba dins aqueix volum l'article perso-
nal En, Na, estampat amb n petita: n', na, essent aixi
que pertoca escriure 'l amb majúscia.

VII. Igualment a alguns endrets el pronom plural de
segona persona eus, us, apareix estampat amb h: Rus,
allà ont en via neguna pot haver-hi tal h.

VIII. A qualque banda han escapat algunes segones
persones singular (cercas, esperas, acabarias, etc.) i ter-
ceres plural (afican, atracan, mogan, etc.), estampades en
-a8 i -an respectivament, essent aixi que pertocava estam-
par-les en -es, i -en (cerques, esperes, acabaríes, afiquen,
atraquen, moguen). Que se tenga en compte.

IX. També qualque vegada surt j en lloc de g devant
-e, V. gr. Corretjes, menetjes, fetje, en lloc de corretges,
manetges, fetge, que es la regla de les Normes, això ès,
que devant e 2 pertoca escriure g i no,j, en no esser en
certs noms erudits (Jesus, Jeroni, Jerusalem, objecte, sub-
jecte, projecte, trajecte), que per no desfigurar-los massa,
convé conservar-los la j de llur etimologia.

X. També son romases tal com estaven en la primera
edició les formes de segona persona singular de l'impera-
tiu: ATURET, DUM això, FETENHI sin vols, FÉN si l' agra-
da, DIGUEU 8è hi penses, remeneu tu, FBU si hu trobes,
MIREM (uU aquest, ATUREM tu 8' animal, DUNHI, vestenhi,
etc. El sistema actual estableix una grafia més exacta
per via d' apostrofs i de guionets, que distingeixen els di-
ferents elements de tals mots composts i eviten les confu-
sions. Per això pertoca escriure: ATURE 'T, DU' M Gixò,
FE-TE 'N-HI, Si vols, FÉ'N si l' agrada, DIGUE-HU Si hè
penses: REMENE-HU tu, FÉ-HU, 8t hu trobes, MIRE 'M tu
aquest, ATURE'M tu s'animal: DU-N' HI, VESTE 'N-HI.
",NA
7,"à II
No extranyam gens que el corrector de proves no n' haja
arribat a treure agúier d' aquest sistema, un poc compli-
cat per lo que té de nou, pero que es l' únic llògic.

XI. També han confús devegades una mica el correc-
tor de proves altres formes verbals que duen afixats di-
ferents pronoms: v. gr. amollau-m' hi, anar-se ""n-ht, etcèé-
tre. I ha succeit que ha posat apostrof allà ont pertoca
guió, i guió allà ont pertocava apostro/. A la primera
edició encara estaven tals formes més mal grafiades que
no això.

XII. Els mots encuantra i cuvantra, compte i Comte
estàn estampats equivocadament: enquantre, quantre,
conte, Conte. Els dos primers surten del llati contra, el
tercer, de computu, i el quart, de Comite.

XIII. A qualque banda se fa la confusió dels infinitius
en -re àtona (veuRE, MOURE, TÍURE, admetRE, entendRE,
etc.) i dels infinitius en -er, àtona també (córrER, parèi-
dER, atènyER, merèixER, etc.), aixi es que a voltes duen
-r els primers, quant en via neguna en poren dur. Per se-
bre si l'infinitiu d' un verb ha de dur -r final, hi ha una
regla que no ment: acudir an el futur imperfet. El futur
imperfet de tot verb se compòn de l'infinitiu de dit verb i
del present del verb auxiliar haver, es per lo mateix un
compost d' aqueis dos elements el futur imperfet, v. gra-
cia (cantar-he) cantaré, (dir-he) diré, (córrer he) correré,
(atènyer-he) atenyeré, (veure-he) veuré, (moure-he) mouré,
(riure-he) riuré, (admetre he) admetré, (entendre-he) en-
tendré. Per lo tant, si de tot futur imperfet llevam la for -
ma final, això es, el present d' hHAVER, quedarà l infini-
tiu pur, i tornarà sortir la seua vocal final, que s' era fusa
amb la del present d' haver, i aixi tendrem veure, moure,
riure, etc. sensa r final. En camvi n'hi haurà a còrrer,
parèixer, merèixer, atènyer, etc. -—Hi ha alguns verbs que
par que contradiguen tal regla, com venèr, tenir, valer,
saber, etc. que fan vendré, tendré, valdré, sabré. Es que
aqueis verbs tenen dos infinitius, un més antic que l'al-
tre, i formen el futur amb lo més antic: vendre o vindre,
tendre o tindre, valdre, sebre (viu a les Balears i a qual-
que endret de Catalunya continental). —Després de tot
això, el lector podrà corretgir bellament les errades que
hi haja dins aqueix tom envers d' aquesta regla.

£
",NA
8,"IV
Fetes avinents totes aquestes coses, vetaqui les altres
errades més de notar que han escapat dins aqueix volum:
PiG. RETXA Diu HA DE DIR
36 19 fora forat .
41 19 empaix empatx
41 832 l'e-hi esclafa le hi esclafa
D6 17 justifetet justifet
61 18 bestia bestia
62 34 sabém sabem
67 2 ni quedaven n' hi quedaven
T1 15 saim bó saim bo
9 1 l'e-hi trobava le hi trobava
9 20 possa posa
ds 1 si 8) taronge taronja
87 15 traullaven treúllaven
88 83, 16 cAn aqui2 An-e quiP
9 82 pertafé pertafè
89 1 lleyó llavò
L D cAn aque cAn-e quiP
90 26 empagait empeg uei t
( 6
da D EA arròc arròs
103 19 veure 'm veurem
104 45 hauria seria
Y 20 despuisair ., air despuisahir... ahir
108 8 grosa grossa
115 24 poqué pogué
117 a) el nombre l'anomena
18 feria faria
127 81 coneixer conèixer
148 Í es ets
9 84 capasse capaca
152 3) Son Suau So 'n Suau
154 16 torce tòrcer
156 30 cEs el dir cEs a dir
159 4 triunfo triumf
162 24 que 'u e-hu que hu heu
164 3) reçaven resaven
",NA
9,"V
169 1 trait trait
180 5 pe 's tretze p'es tretze
181 17 pe 's camí p' es camí
185 4 pe 'n terra p'en-terra
186 16 bal'lesa bal'lessa
187 38 s' ha dita s'es dita
192 29 no se no sé
198 18 axingler aixinguer
219 10 admetrer 't admetre 't
298 20 Tropitxau Trompitxau
288 14 quantredir cuantradir
242 27 xamosa gojosa
250 6 es mig a's mig
(2 28 ar- a- lo
Ú 1 L) 24 rós vital R
259 1 ventatja ventatge
P 9 compareixer comparèixer
258 24 Decembre Desembre
268 25 j Vineil iVine-hil
274 18 li le hi
2 25 volia volíeu
288 8 qui 't-vel'len qui 't vel'len
284 29 li feu se feu
288 6 a l'alnia l'aluiar
297 15 com cop
299 12 i ara ara
300 19 donya dona
ua
a
",NA
10,"TAULA

GVAL MÉS MATINETJAR QUE A MISSA ANARP 1
EN JUANET DE L'ONSO.. 5. seu a a DA Je —
L' AMOR DE LES TRES TARONGES. . . . 60
ES CANYAMET, S' ASET I SA SERRA-PORRA — 95
EN PERE GR. us sosa ut Es HO
EN FERRANDÍ — uo gos mon o et. ED.
EN PRRE DES FORN. 4. Ge io zo g. ME
S' ESTUDIANT DE SA COVA DE SALAMANCA 160
EN PERE DE SA XU a cs se dos a MT
EN JUANET Í'ES GIGANT, 4 uv ao MOL
ES GALLET, S' ANYELLET, SA GODINETA I

BS DRAC qoe ge re Dom o ss. LG
ES LLADRE FADRÍ I ES LLADRE CASAT. . 219
ES GORRIONET,. .m sò sou a 4. 4 2 m2
SA. CAMAROTGERA sua a ue a de OI
ES FUSTERDO,S ed De ea ls sa
MESTRE NADAL DE SA PLACETA DEL SO-

COR aa LE ee ple ri EES
AMICS DE BARRET I AMICS VERS. . . . 283
EN TONI GARRIGUEL'LO£. . . . . . 00

, UN PARE I QUATRE FIIS. .. —.. 4.4. 4. . APP
Aj
4 UNA QUi No VOLIA V'AVISIS ed
eYol. VV P: 93
Pi
",NA
