linea,pagina,titulo,indice
Portada e INICIO,1,Portada e INICIO,1
PROLEG DE LA 1.,5,PROLEG DE LA 1.,5
PROLEG DE LA 2.,16,PROLEG DE LA 2.,16
EN JUANET I ES SET MISSATGES                  1,1,EN JUANET I ES SET MISSATGES,26
UN FESTETJADOR.                              19,19,UN FESTETJADOR.,44
S' HERMOSURA DEL MON                        23,23,S' HERMOSURA DEL MON,48
SA FIA DES CARBONERET                       35,35,SA FIA DES CARBONERET,60
EN MARTÍ TACÓ .                             44,44,EN MARTÍ TACÓ .,69
ES CA D'EN BUA I ES MOIX D'EN PEJULÍ.       57,57,ES CA D'EN BUA I ES MOIX D'EN PEJULÍ.,82
N'ESTEL D' OR                               63,63,N'ESTEL D' OR,88
NA MAGRANETA.                               84,84,NA MAGRANETA.,109
SA JAIA XELOC I SA JAIA BIGALOT             99,99,SA JAIA XELOC I SA JAIA BIGALOT,124
EN JUANET DE SA GERRA                      107,107,EN JUANET DE SA GERRA,132
ES TRES GERMANS I ES NOU GEGANTS.          114,114,ES TRES GERMANS I ES NOU GEGANTS.,139
EN PERE DE SA BUTZA                        128,128,EN PERE DE SA BUTZA,153
ES SET CEROS                               133,133,ES SET CEROS,158
ES SEGADOR I SA BEATA                      146,146,ES SEGADOR I SA BEATA,171
EN SALOM I ES BAL'LE.                      150,150,EN SALOM I ES BAL'LE.,175
N AGRACIAT                                 165,165,N AGRACIAT,190
ES CASTELL D'IRÁS I NO TORNARÁS            174,174,ES CASTELL D'IRÁS I NO TORNARÁS,199
Es QUATRE GERMANS                          213,213,Es QUATRE GERMANS,238
S' HOMO I ES LLEÓ                          228,228,S' HOMO I ES LLEÓ,253
N' ESPARDENYETА                            231,231,N' ESPARDENYETА,256
Es DOs BESSONS                             244,244,Es DOs BESSONS,269
SA RABOA I S' ERISSÓ                       256,256,SA RABOA I S' ERISSÓ,281
SA RONDAIA D' EN VIT                       269,269,SA RONDAIA D' EN VIT,294
   BON-JESÚS I ETS ALTRES APÒSTOLS..       273,273,BON-JESÚS I ETS ALTRES APÒSTOLS..,298
