titulo,pagina
¿Val més matinetjar que a missa anar?,1
En Juanet de l’ Onso,24
L’ amor de les tres taronges,60
"Es canyamet, s’ aset i sa serra-porra",95
En Pere Grif,110
En Ferrandí,119
En Pere des forn,147
S’ estudiant de sa cova de Salamanca,160
En Pere de sa xua,177
En Juanet i es gigant,191
"Es gallet, s’ anyellet, sa godineta i es drac",206
Es lladre fadrí i es lladre casat,219
Es gorrionet,234
Sa cama-rotgera,237
Es fustet,254
Mestre Nadal de sa placeta del Socós,279
Amics de barret i amics vers,283
En Toni Garriguel·lok,300
Un pare i quatre fils,309
